names,descriptions,classified_products
Women's Cloud 2 Sandals by,"We partnered with Chaco to create these special-edition water sandals, featuring rugged construction and earth tones inspired by Maine's Acadia National Park. ","['Footwear', 'Sandals', 'Outdoor Accessories']"
Cozy Colorblock Down Jacket,"Our revolutionary 850 down sweater defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell – for unbeatable performance.","['Outerwear', 'Jackets', 'Down Jackets']"
Cloudy Caper Hat,"Our revolutionary 850 down sweater defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell – for unbeatable performance.","['Clothing', 'Outerwear', 'Hats']"
Ultra-Tech Upland Trek Pack,"Rugged and superfunctional, this single strap backpack is designed for the upland hunter, featuring easy-access and easy-clean game bag, single comfort strap to avoid gun mount interference, shell storage and room for your electronics. ","['Backpacks', 'Hunting Gear', 'Outdoor Accessories']"
Bonefish Bead Chain Duo Pack,"Rugged and superfunctional, this single strap backpack is designed for the upland hunter, featuring easy-access and easy-clean game bag, single comfort strap to avoid gun mount interference, shell storage and room for your electronics. ","['Backpacks', 'Hunting Gear', 'Outdoor Accessories']"
Blackburn All-Terrain Cycling Kit,"Rugged and superfunctional, this single strap backpack is designed for the upland hunter, featuring easy-access and easy-clean game bag, single comfort strap to avoid gun mount interference, shell storage and room for your electronics. ","['Outdoor Gear', 'Cycling Accessories', 'Hunting Equipment']"
Relaxed Fit Pull-On Pants,"Rugged and superfunctional, this single strap backpack is designed for the upland hunter, featuring easy-access and easy-clean game bag, single comfort strap to avoid gun mount interference, shell storage and room for your electronics. ","['Clothing', 'Pants', 'Outdoor Gear']"
"Northeast Coast Plaid Shirt, Short-Sleeve Slightly Fitted","This lightweight shirt is softly textured, perfectly cool and easygoing in summery plaids. Made from 100% organic cotton, it is a better choice for you and the planet.","['Clothing', 'Shirts', 'Short-Sleeve Shirts']"
"Ultimate Comfort Hooded Henley Sweatshirt, Long Sleeve","This lightweight shirt is softly textured, perfectly cool and easygoing in summery plaids. Made from 100% organic cotton, it is a better choice for you and the planet.","['Clothing', 'Sweatshirts', 'Organic Cotton']"
Natural Leather Wallet,"This lightweight shirt is softly textured, perfectly cool and easygoing in summery plaids. Made from 100% organic cotton, it is a better choice for you and the planet.","['Accessories', 'Wallets', 'Leather Goods']"
"Mens' Wanderer Trek Shoes, Suede","This lightweight shirt is softly textured, perfectly cool and easygoing in summery plaids. Made from 100% organic cotton, it is a better choice for you and the planet.","['Footwear', ""Men's Shoes"", 'Trekking Shoes']"
Yeti Mammoth Haul 60 Cooler,"The Tundra Haul is the first Yeti cooler on wheels, allowing easy transport of even the heaviest load of cold beverages. It takes the Tundra's legendary toughness and industry-leading insulating power to the next level. ","['Coolers', 'Outdoor Equipment', 'Camping Accessories']"
Cozy Cotton Cardi,"This cardigan blends the classic ragg style with the comfort of soft cotton, making it ideal for layering any time of the year. ","['Clothing', 'Outerwear', 'Cardigans']"
Snowy Summit Pack,"This full-featured multiday backpack was redesigned in 2015 to be lighter, more streamlined and extra user-friendly. It features both top-load and panel access, with a panel behind the front organizer pocket allowing full access to the main compartment. The free-floating cap is now larger and can be removed to use separately as a lumbar pack. This pack is made from tough 330D double-ripstop nylon with an HDPE frame-sheet for even weight distribution and a thickly padded EVA foam hipbelt for cushioning over pressure points. The collar-cut shoulder straps are padded for comfort and conform to the shape of your body, and the expandable spindrift collar adds extra capacity. Mesh cell phone/GPS/camera pockets on the hip belt, two water-bottle pockets, and a built-in internal hydration sleeve offer added convenience. All zippers are waterproof. ","['Backpacks', 'Outdoor Gear', 'Camping Equipment']"
Sealed Sea Storage Sack,"This dry bag is designed for the ultimate in lightweight protection for your gear. It comes in a range of sizes and colors to help keep you organized, and is made of lightweight 70-denier nylon and laminated with waterproof polyurethane. All seams are fully taped and sealed for waterproof protection, and the Hypalon roll-top closure seals out moisture. The round-bottom design of all sizes makes for easy packing. It offers waterproof protection to keep your gear dry, and is lightweight enough for backpacking.","['Outdoor Gear', 'Storage Solutions', 'Waterproof Bags']"
Mountain Glide Shorts,"For mornings on the trail to evenings downtown, these men's outdoor shorts are made of a rugged, high-performance fabric with a touch of stretch that makes them really easy to move in.","['Clothing', 'Outdoor Shorts', ""Men's Apparel""]"
"Men's  Thermal Crew, Long Sleeve","For mornings on the trail to evenings downtown, these men's outdoor shorts are made of a rugged, high-performance fabric with a touch of stretch that makes them really easy to move in.","['Clothing', ""Men's Clothing"", 'Outdoor Apparel']"
Eco-Friendly Cotton Weave Towel,"All the softness and absorbency you've come to expect from  towels, in certified organic cotton for natural, ecofriendly comfort. ","['Towels', 'Eco-Friendly Products', 'Outdoor Accessories']"
Kids'  Flannel Snuggle Set,"All the softness and absorbency you've come to expect from  towels, in certified organic cotton for natural, ecofriendly comfort. ","[""Kids' Clothing"", 'Sleepwear', 'Loungewear']"
Comfort-Flex Denim Jeans,"Our original Double Ls in durable cotton denim—these bestselling women’s relaxed fit comfort waist jeans have subtle elastic sides for optimal comfort. ","['Clothing', 'Pants', ""Women's Apparel""]"
Umpqua 16-Piece Buggie Fly Assortment,"Our original Double Ls in durable cotton denim—these bestselling women’s relaxed fit comfort waist jeans have subtle elastic sides for optimal comfort. ","['Clothing', ""Women's Clothing"", 'Jeans']"
Foldaway Primaloft Jacket,"Our PrimaLoft Packaway Jacket has been redesigned and improved - it provides the same versatile and lightweight construction, but with added warmth. It is wind- and water-resistant, and is made with 100% recycled polyester. It contains 60-gram PrimaLoft® Gold Insulation with Cross Core™ technology and NASA-developed Aerogel technology, making it 15% warmer without any extra weight. It also features an internal media pocket with audio port, two hand pockets, one chest pocket and a drawcord hem to seal out cold drafts. It is easily packable and machine washable. ","['Jackets', 'Insulated Jackets', 'Outdoor Clothing']"
"Women's Katahdin Hiking Sneakers, Nubuck Mesh","These lightweight, breathable retro hikers are perfect for day hiking on gentle terrain or city streets. ","['Footwear', 'Hiking', 'Outdoor Clothing']"
New Balance Fast Kiddo Sneaker,"These lightweight, breathable retro hikers are perfect for day hiking on gentle terrain or city streets. ","['Footwear', 'Hiking', 'Kids']"
Rainproof Oversized Camping Blanket,"These lightweight, breathable retro hikers are perfect for day hiking on gentle terrain or city streets. ","['Camping Gear', 'Outdoor Clothing', 'Blankets']"
"Traveler's Packable Quilted Vest, Print","Fantastically fun and functional, this camo vest conveniently packs into its own pocket. Slim and stylish, thanks to PrimaLoft® insulation, it makes a great extra layer in colder weather and can be the only layer you'll need when spring arrives. ","['Clothing', 'Vests', 'Outerwear']"
Timeless Denim Straight-Leg Jeans,"Our incredible knit jeans in a new, more resilient fabric - no sagging, bagging or stretching out. They may look like denim, but they're as comfortable to wear as your favorite sweats.","['Clothing', 'Pants', 'Jeans']"
"Therma-Wrap Union Suit, Men's","Our incredible knit jeans in a new, more resilient fabric - no sagging, bagging or stretching out. They may look like denim, but they're as comfortable to wear as your favorite sweats.","['Clothing', ""Men's Clothing"", 'Pants']"
"Athluxe Performance Shorts, 6""","The most versatile swim trunks under the sun. Perfectly fit for swimming, running, kayaking or any unexpected adventure. In a new design that's more comfortable and better looking than ever.","['Clothing', 'Shorts', 'Swimwear']"
Camouflage Crusader LED Cap,"Now make getting out to your stand or tracking game in the dark even easier with our redesigned lighted cap.","['Clothing', 'Headwear', 'Outdoor Accessories']"
Urban Striped Quarter-Zip Terry Pullover,"Now make getting out to your stand or tracking game in the dark even easier with our redesigned lighted cap.","['Clothing', 'Outerwear', 'Pullover']"
Katahdin Iron Works Quilted Fleece Shirt Jac,"Now make getting out to your stand or tracking game in the dark even easier with our redesigned lighted cap.","['Clothing', 'Outerwear', 'Fleece Shirts']"
Activewear Bootcut Bottoms,"Now make getting out to your stand or tracking game in the dark even easier with our redesigned lighted cap.","['Clothing', 'Activewear', 'Bottoms']"
"No-Crease Double L® Chino Shorts, Classic Fit Plain Front 6'' Inseam","Now make getting out to your stand or tracking game in the dark even easier with our redesigned lighted cap.","['Clothing', 'Shorts', 'Outdoor Apparel']"
"Men's Wilderness Explorer Field Tee, Long-Sleeve","Nothing beats the outdoors, but nothing ruins the outdoors quite like swarms of insects. Our men's bug-repellent shirts take care of all that. ","['Clothing', ""Men's Clothing"", 'Outdoor Apparel']"
PrimaLoft Plaid Shirt-Jac,"This lightweight jacket features the classic good looks of a flannel shirt jacket. Perfect for colder weather, it's insulated with PrimaLoft to keep you warm and cozy.","['Clothing', 'Jackets', 'Insulated Jackets']"
Men's PrimaLoft® Thermal Trousers,"This lightweight jacket features the classic good looks of a flannel shirt jacket. Perfect for colder weather, it's insulated with PrimaLoft to keep you warm and cozy.","['Clothing', 'Trousers', 'Insulated Wear']"
Maine Guide Canvas Rod Travel Case,"This rugged 4-piece fishing rod case features the same traditional waxed cotton canvas used for our Field Coat, popular since the 1930s. ","['Fishing Accessories', 'Travel Gear', 'Outdoor Equipment']"
"Cotton Comfort Crew Sock, Dual-Pack","This rugged 4-piece fishing rod case features the same traditional waxed cotton canvas used for our Field Coat, popular since the 1930s. ","['Clothing', 'Socks', 'Outdoor Accessories']"
Trail Ready Trekking Poles,"This rugged 4-piece fishing rod case features the same traditional waxed cotton canvas used for our Field Coat, popular since the 1930s. ","['Outdoor Equipment', 'Trekking Poles', 'Hiking Accessories']"
ShieldSeat Luxe,"This rugged 4-piece fishing rod case features the same traditional waxed cotton canvas used for our Field Coat, popular since the 1930s. ","['Fishing Accessories', 'Outdoor Gear', 'Rod Cases']"
Kids' Wildly Wonderful Lodge Boots,"This rugged 4-piece fishing rod case features the same traditional waxed cotton canvas used for our Field Coat, popular since the 1930s. ","['Footwear', ""Kids' Clothing"", 'Outdoor Accessories']"
Bogs Camo Kids' Boots,"These weatherproof boots made by Bogs have all the great features as mom's and dad's Bogs. Multilayer construction with excellent insulation is guaranteed to protect young explorers' feet while catching frogs and stalking crickets.","['Footwear', ""Kids' Clothing"", 'Outdoor Gear']"
Fishing Pro Long-Sleeve Shirt,"These weatherproof boots made by Bogs have all the great features as mom's and dad's Bogs. Multilayer construction with excellent insulation is guaranteed to protect young explorers' feet while catching frogs and stalking crickets.","['Clothing', 'Outdoor Apparel', 'Fishing Gear']"
"ZipTec Waders with Super Seal Technology, Zippered-Chest Stocking Foot","These weatherproof boots made by Bogs have all the great features as mom's and dad's Bogs. Multilayer construction with excellent insulation is guaranteed to protect young explorers' feet while catching frogs and stalking crickets.","['Clothing', 'Footwear', 'Outdoor Gear']"
"Mountain Mist Garment-Dyed Graphic Tee, Long-Sleeve Slightly Fitted","This garment-dyed tee makes us want to head outdoors. The exclusive tent graphic was hand-drawn by our designer right here in Freeport, Maine.","['Clothing', 'T-Shirts', 'Long Sleeve Tees']"
"Girls' Splashy Splash Rashguard Bikini, Print","This garment-dyed tee makes us want to head outdoors. The exclusive tent graphic was hand-drawn by our designer right here in Freeport, Maine.","['Clothing', 'Swimwear', ""Girls' Apparel""]"
Seals Spray Shield Skirt,"This garment-dyed tee makes us want to head outdoors. The exclusive tent graphic was hand-drawn by our designer right here in Freeport, Maine.","['Clothing', 'Outdoor Apparel', 'Skirts']"
Luxury Machine-Washable Linen Slacks,"Our go-to style for easy summer days, these comfortable linen shorts are designed to keep things light. ","['Clothing', 'Pants', 'Summer Wear']"
Milo Slides by Kork-Ease,"Our go-to style for easy summer days, these comfortable linen shorts are designed to keep things light. ","['Footwear', 'Sandals', 'Summer Wear']"
"Effortless 850 Down Jacket, Colorblock","Our revolutionary 850 down sweater defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell – for unbeatable performance. Size & Fit Slightly Fitted. Best with midweight layer. Falls at hip.","['Jackets', 'Outerwear', 'Down Insulation']"
Mosquito Shield Refill Pack,"Our revolutionary 850 down sweater defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell – for unbeatable performance. Size & Fit Slightly Fitted. Best with midweight layer. Falls at hip.","['Clothing', 'Outerwear', 'Sweaters']"
New Balance Men's Arishi v2 Trail Shoes,"Featuring the innovative, super-plush Fresh Foam midsole, the Arishi running shoe will have you feeling more refreshed and energetic at the end of your run. ","['Footwear', 'Trail Running Shoes', ""Men's Outdoor Clothing""]"
Femme Essential Solar Cap,"From the beach to the garden, this paper sun hat has an extra-wide brim for plenty of sun protection and effortless style. Fabric & Care: 100% paper construction with UPF 50+ rated – the highest rated sun protection possible. Spot Clean. Additional Features: Slightly floppy for a fun, stylish look. Imported.","['Hats', 'Sun Protection', ""Women's Accessories""]"
Ladies' Featherweight Sweatshirt,"Warms when it's cool, breathes when it's warm – this quilted pullover provides all the performance features you need for outdoor adventures, and plenty of wear-anywhere style.","['Clothing', 'Sweatshirts', 'Outdoor Apparel']"
"Women's Mountain Peaks Fleece Pullover, Patterned","Our best-value fleece pullover is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. Size & Fit Slightly Fitted. Best with lightweight layer. Falls at hip. ","['Clothing', 'Outerwear', 'Fleece']"
GemStone Optics 10x32 Binoculars,"Our best-value fleece pullover is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. Size & Fit Slightly Fitted. Best with lightweight layer. Falls at hip. ","['Outdoor Equipment', 'Binoculars', 'Optics']"
Flex-Fit Fleece Jacket,"Our best-value fleece pullover is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style. Size & Fit Slightly Fitted. Best with lightweight layer. Falls at hip. ","['Clothing', 'Outerwear', 'Fleece Jackets']"
Mountain Trekker Waterproof Hiking Boots,"Inspired by the classic hiking boots from our archives, these waterproof hikers feature a lightweight outsole and midsole that make them feel like your favorite pair of sneakers. Great for day hikes or treks around town. ","['Footwear', 'Hiking Boots', 'Outdoor Clothing']"
Ocean Lanes Croquet Set with Nautical Bag,"Inspired by the classic hiking boots from our archives, these waterproof hikers feature a lightweight outsole and midsole that make them feel like your favorite pair of sneakers. Great for day hikes or treks around town. ","['Outdoor Equipment', 'Sports & Games', 'Accessories']"
Multi-Athlete Performance Tee,"Inspired by the classic hiking boots from our archives, these waterproof hikers feature a lightweight outsole and midsole that make them feel like your favorite pair of sneakers. Great for day hikes or treks around town. ","['Clothing', 'T-Shirts', 'Athletic Wear']"
Women's All-Weather Waterproof Day Pack,"This technical women's day pack will keep your gear dry so you can hike in all kinds of weather. Waterproof fabric, a roll-top closure and taped seams in the main compartment seal out moisture so you can concentrate on the trail ahead. ","['Outdoor Gear', 'Backpacks', ""Women's Clothing""]"
"Kids' Snowproof Patrol Ski Jacket, Colorblock","This technical women's day pack will keep your gear dry so you can hike in all kinds of weather. Waterproof fabric, a roll-top closure and taped seams in the main compartment seal out moisture so you can concentrate on the trail ahead. ","[""Kids' Clothing"", 'Outerwear', 'Ski Jackets']"
Umpqua Pro Guide Lightweight Fly Storage Box,"This technical women's day pack will keep your gear dry so you can hike in all kinds of weather. Waterproof fabric, a roll-top closure and taped seams in the main compartment seal out moisture so you can concentrate on the trail ahead. ","['Outdoor Gear', 'Fishing Accessories', 'Storage Solutions']"
"Sunburst Sneakers, Lace-Up","This technical women's day pack will keep your gear dry so you can hike in all kinds of weather. Waterproof fabric, a roll-top closure and taped seams in the main compartment seal out moisture so you can concentrate on the trail ahead. ","['Footwear', 'Outdoor Gear', 'Hiking Accessories']"
Cork Comfort Sandals,"From their all-terrain outsole to their waterproof leather upper, these sleek cork sandals are built for comfort from the ground up.","['Footwear', 'Sandals', 'Outdoor Accessories']"
FluoroFlex Tippet Supreme,"From their all-terrain outsole to their waterproof leather upper, these sleek cork sandals are built for comfort from the ground up.","['Footwear', 'Sandals', 'Outdoor Accessories']"
Mt. Katahdin Comfort Fleece Pullover,"We've combined function and style in our Katahdin Microfleece Pullover. ","['Clothing', 'Outerwear', 'Fleece']"
Women's Pistil Dresden Cowl,"We've combined function and style in our Katahdin Microfleece Pullover. ","['Clothing', 'Outerwear', 'Fleece']"
"Men's All-Terrain Performance Flannel Shirt, Fleece Lined","We've combined function and style in our Katahdin Microfleece Pullover. ","['Clothing', 'Shirts', ""Men's Apparel""]"
Women's PrimaLoft Soft Shell Mittens,"We've combined function and style in our Katahdin Microfleece Pullover. ","['Clothing', 'Accessories', 'Mittens']"
Leatherman Super Tool 300 with Vintage Sheath,"The Leatherman Super Tool 300 is the perfect tool for both serious jobs and fixing minor mishaps. This tool is Leatherman’s biggest, strongest and most comprehensive. Weighing just 9.6 oz and with a closed length of 4.5"", it features a 3.2"" primary blade length and is made of 100% super-durable stainless steel. It also comes with a classic leather sheath, embossed with “Leatherman” in gold.","['Tools', 'Outdoor Equipment', 'Accessories']"
Riverton Lined Trousers,"Part of our Traverse Collection, these insulated hiking pants are made tough and lined for warmth, keeping you warm even as the temperature drops. ","['Clothing', 'Pants', 'Hiking Gear']"
Rain Splashy Boots,"These kids' patterned rain boots are perfect for all the mud and puddles little ones get into. Durably made and leak-proof with kid-friendly prints, these boots are perfect for splashing around on rainy days.","['Footwear', ""Kids' Clothing"", 'Rain Gear']"
Women's Brooks Performance Running Vest,"These kids' patterned rain boots are perfect for all the mud and puddles little ones get into. Durably made and leak-proof with kid-friendly prints, these boots are perfect for splashing around on rainy days.","['Clothing', 'Outdoor Apparel', 'Vests']"
Women's O'Neill Bahia Waterproof Windbreaker Jacket,"Designed specifically to fit a woman's shape, the Bahi Full-Zip Wetsuit Jacket is great for surfing, stand up paddle boarding, kayaking and other water sports. When you get too warm, it's easy to zip off so you can cool down. ","[""Women's Clothing"", 'Jackets', 'Water Sports Apparel']"
Plaited Jewelneck Tunic Sweater,"Designed specifically to fit a woman's shape, the Bahi Full-Zip Wetsuit Jacket is great for surfing, stand up paddle boarding, kayaking and other water sports. When you get too warm, it's easy to zip off so you can cool down. ","['Clothing', 'Sweaters', ""Women's Apparel""]"
Women's Waterproof Hoka One One Sky Shield,"Designed specifically to fit a woman's shape, the Bahi Full-Zip Wetsuit Jacket is great for surfing, stand up paddle boarding, kayaking and other water sports. When you get too warm, it's easy to zip off so you can cool down. ","['Clothing', 'Outerwear', 'Water Sports']"
Mountain Hiker Fleece Pullover,"Our best-value fitness fleece is designed for lightweight warmth on the trail or in the backyard. ","['Clothing', 'Fleece', 'Outdoor Apparel']"
Mountainview 3-in-1 Fleece Jacket,"Get three options in one with this sweater fleece 3-in-1 jacket, combining the warmth of our popular Sweater Fleece with a durable, water-resistant shell for all-season versatility. Light activity: to 35°  Moderate activity: to -15°. Traditional Fit and falls at the hip, best with midweight layer.","['Jackets', 'Fleece', '3-in-1 Outerwear']"
"Wrinkle-Resistant Sheet Collection, Floral","Get three options in one with this sweater fleece 3-in-1 jacket, combining the warmth of our popular Sweater Fleece with a durable, water-resistant shell for all-season versatility. Light activity: to 35°  Moderate activity: to -15°. Traditional Fit and falls at the hip, best with midweight layer.","['Clothing', 'Jackets', 'Outdoor Apparel']"
Trail Trekker 18 Day Pack,"This lightweight technical day pack is perfect for long day hikes, daily commutes, or running errands on a bike. The minimalist design allows you to carry only what's essential. It is made from 100-denier nylon mini diamond shadow and a 500-denier nylon packcloth bottom. The BioStretch ventilated harness is perforated with EVA foam for breathability and the AirSpeed™ back panel suspends the pack body off back, increasing ventilation and improving comfort. It also features an internal hydration sleeve that can accommodate up to a 3 liter reservoir, a scratch-resistant organization pocket for sunglasses and electronics, stretch mesh side pockets for smaller items, trekking pole attachment with upper compression strap capture, compression straps to stabilize your load, removable webbing hipbelt and a sternum strap with whistle. An integrated rain cover keeps your gear dry on rainy days. Imported. ","['Backpacks', 'Hiking Gear', 'Outdoor Accessories']"
Explorer Rectangular Sleeping Bag 25°,"This 25-degree rectangular sleeping bag is newly redesigned for a roomier, more comfortable fit. It is lightweight and small due to its super-compressible synthetic insulation, and is an ideal choice for first-time backpackers. ","['Sleeping Bags', 'Camping Gear', 'Outdoor Equipment']"
Fold 'n' Ride Bike,"This 25-degree rectangular sleeping bag is newly redesigned for a roomier, more comfortable fit. It is lightweight and small due to its super-compressible synthetic insulation, and is an ideal choice for first-time backpackers. ","['Camping Gear', 'Sleeping Bags', 'Outdoor Equipment']"
Men's PrimalShield Packaway Vest,"We made our PrimaLoft Packaway Vest even warmer while maintaining the weather-resistant, lightweight construction our customers know and love. This innovative combination of NASA-developed aerogel technology and performance insulation is 15% warmer without any extra weight.","['Clothing', 'Outerwear', 'Vests']"
New Balance Women's 574 Fitness Shoes,"These super-comfortable walking shoes feature advanced technology that provides outstanding support and impressive durability. ","['Footwear', 'Fitness Shoes', ""Women's Shoes""]"
Men's Summit Trail Waterproof Hiking Shoes,"These super-comfortable walking shoes feature advanced technology that provides outstanding support and impressive durability. ","['Footwear', 'Hiking Shoes', ""Men's Outdoor Clothing""]"
Mountain Peak Chukkas,"Our men's chukka slippers combine rugged style and water-resistant protection with plush, slipper-like comfort. With over 4 million pairs sold in the last 5 years, it's clear that customers love our Wicked Good Slippers. They make such a great gift that we sell a pair every 7 seconds during peak season in December. The reason for their popularity is the cozy shearling, as well as superior construction using premium sheepskin. In Maine, “Wicked Good” is as good as it gets. ","['Footwear', 'Slippers', ""Men's Clothing""]"
Grizzly Bear Waterproof Snow Boots,"Industry-leading Aerogel insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional pac boots. ","['Footwear', 'Winter Boots', 'Outdoor Clothing']"
Insulated Waxed-Canvas Pouch,"Industry-leading Aerogel insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional pac boots. ","['Footwear', 'Winter Gear', 'Accessories']"
Coveted Classic Cut Denim,"Our ladies' straight-leg jeans are meticulously crafted and handfinished to give you the perfect fit. ","['Clothing', 'Pants', 'Denim']"
Serene Sun Hat,"Our ladies' straight-leg jeans are meticulously crafted and handfinished to give you the perfect fit. ","['Hats', ""Women's Accessories"", 'Outdoor Clothing']"
OUTDOOR RESEARCH WINDBLOCKER EAR BAND,"Our ladies' straight-leg jeans are meticulously crafted and handfinished to give you the perfect fit. ","['Clothing', 'Accessories', 'Headwear']"
Women's Mountain Classic Colorblock Quilted Anorak,"Our ladies' straight-leg jeans are meticulously crafted and handfinished to give you the perfect fit. ","['Clothing', 'Outerwear', 'Jackets']"
"Ocean Breeze Plaid Tee, Short-Sleeve","Our ladies' straight-leg jeans are meticulously crafted and handfinished to give you the perfect fit. ","['Clothing', 'Tops', 'Short-Sleeve Shirts']"
"F","The Nemo Jazz double sleeping bag is designed to sleep two people comfortably. It's exceptionally roomy and filled with high-lofting Stratofiber™ synthetic insulation that will keep you warm and cozy all night.","['Sleeping Bags', 'Camping Gear', 'Outdoor Equipment']"
Cotton/Cashmere Stripe Button-Up Cardigan,"The Nemo Jazz double sleeping bag is designed to sleep two people comfortably. It's exceptionally roomy and filled with high-lofting Stratofiber™ synthetic insulation that will keep you warm and cozy all night.","['Clothing', 'Outerwear', 'Cardigans']"
Women's Suncloud Radiant Polarized Sunglasses,"The Nemo Jazz double sleeping bag is designed to sleep two people comfortably. It's exceptionally roomy and filled with high-lofting Stratofiber™ synthetic insulation that will keep you warm and cozy all night.","['Sunglasses', ""Women's Accessories"", 'Outdoor Gear']"
Nikon VisionView 10x42 Binoculars,"One of the newest models, Nikon’s 10 x 42 Aculon binoculars combines high-end performance with an affordable price that any nature enthusiast would enjoy.","['Binoculars', 'Outdoor Equipment', 'Hiking Accessories']"
SailMaster Kayak Carrier Kit With Mesh Bag,"The Malone Deluxe Kayak Carrier Kit includes all the necessary components to securely transport one kayak on top of your vehicle. This kit includes two 18"" long EVS foam blocks, two 15' load straps and two 12' bow/stern tie-downs. It conveniently fits round, square and oval load bars. When not in use, the kit can be stowed into a travel tote for easy storage. This product is proudly made in the USA. ","['Outdoor Equipment', 'Kayak Accessories', 'Transport Gear']"
"Adventura Hiking Socks, Midweight Two-Pack","These merino wool hiking socks have been tested by experts in the field and outperform the competition. ","['Clothing', 'Socks', 'Hiking Gear']"
"CoolMax Kids' Pro Sport Socks, Two-Pack","Made from breathable and quick-drying fabric, our kids’ moisture-wicking socks keep feet comfortable, through every activity and season. ","['Clothing', 'Socks', ""Kids' Apparel""]"
"TravelSmart Stretch Chino Shorts, Comfort Waistband 8"" Inseam","Made from breathable and quick-drying fabric, our kids’ moisture-wicking socks keep feet comfortable, through every activity and season. ","['Clothing', 'Shorts', ""Kids' Apparel""]"
"ActiveFlex Colorblock Shorts 9""","These colorblock sport shorts are designed to be more comfortable and better looking than ever. Perfect for swimming, running, kayaking or any adventure, they feature a 9"" inseam and a classic fit that sits at the natural waist and has a traditional straight leg. Made from 100% nylon for durability, they are also UPF 50+ rated – the highest rated sun protection possible, with a super-soft, quick-drying, anti-odor polyester mesh liner. These shorts also come with a durable water-repellent finish to ensure they'll dry quickly, a three-ply Supplex fabric that is lightweight, breathable and brushed for softness, an updated elastic waistband with an internal adjustable drawstring for just the right fit, side seam pocket and back welt pocket with Velcro-closure – both with mesh drainage panels, and our iconic Mt. Katahdin logo on lower left leg. Rinse thoroughly after use, machine wash and dry. Imported.","['Clothing', 'Shorts', 'Activewear']"
Canine Comfort Vest,"Protect your pet from disease-carrying insects with a No Fly Zone vest featuring built-in synthetic bug repellent. Size & Fit: Measure around the widest part of the rib cage (girth) to determine appropriate size. Specs: ","['Pet Clothing', 'Outdoor Gear', 'Insect Protection']"
"Benchmade 551 SureCut Folding Knife, Serrated","The Griptillian serrated folding pocket knife is a perfect choice for everyday use. Extremely durable, versatile and rugged, this blade is handcrafted in the USA and is sure to become your go-to knife. Here are the specs:","['Outdoor Gear', 'Knives', 'Folding Knives']"
Relax-Ease Lounger,"Our All-Weather Adirondack Lounger with built-in footstool is perfect for a quick breather or an entire afternoon of relaxation. Specs: Overall dimensions: 35¾""H x 29""W x 35¾""D. Leg rest: Extends 22½"" from seat. Seat area: 20"" x 17"". Seat height: 13 1/8""H. Approx. Weight: 48 lbs. ","['Outdoor Furniture', 'Loungers', 'Adirondack Chairs']"
Women's  Softshell Sherpa Fleece Jacket,"The ultimate sweater fleece – made from superior fabric and offered at an unbeatable price. ","['Clothing', 'Outerwear', 'Jackets']"
Cozy-Knit Henley,"Soft, comfortable stretch cotton combined with timeless styling make our women's long-sleeve waffle knit henley shirt an indispensable layering piece.","['Clothing', 'Tops', 'Shirts']"
Kiddie Cloudhoppers Rain Boots,"We want kids to head outside and play, no matter the weather. That's why we love these lightweight Bogs rain boots – colorful, waterproof and perfect for puddle jumping.","['Footwear', 'Rain Gear', ""Kids' Clothing""]"
Quick Stream Pack,"We want kids to head outside and play, no matter the weather. That's why we love these lightweight Bogs rain boots – colorful, waterproof and perfect for puddle jumping.","['Footwear', 'Kids', 'Rain Gear']"
Women's  Comfort Core PFD,"This women's life jacket contains a foam insert that adds comfort when paddling in recreational kayaks with high-back seats. ","['Clothing', 'Outdoor Gear', 'Water Sports Equipment']"
Women's PrimaLoft Cozy Packable Mittens,"This women's life jacket contains a foam insert that adds comfort when paddling in recreational kayaks with high-back seats. ","['Clothing', 'Accessories', 'Mittens']"
Garmin eTrex Journeyer,"This women's life jacket contains a foam insert that adds comfort when paddling in recreational kayaks with high-back seats. ","['Clothing', 'Accessories', 'Water Sports']"
Island Breeze Zip-Leg Pants,"These Women’s convertible hiking pants are styled specifically for women, offering a great fit and feel with the versatility of switching from pants to shorts or back again with two quick zips. ","['Clothing', 'Pants', 'Hiking Gear']"
Girls' UltraSoft Comfort Figure Skates,"These Women’s convertible hiking pants are styled specifically for women, offering a great fit and feel with the versatility of switching from pants to shorts or back again with two quick zips. ","['Clothing', 'Skates', 'Outdoor Accessories']"
Suggested Name: Cork Wedge Sandals,"From their all-terrain outsole to their waterproof leather upper, these sleek cork sandals are built for comfort from the ground up.","['Footwear', 'Sandals', 'Outdoor Clothing']"
